"Front","Back","Tag","ID"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T01 - CE i EAC] Pregunta 1</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quina facultat no pot exercir qui substitueix temporalment la Presidència?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Representar la Generalitat en les relacions institucionals.</div><div style=""padding: 5px 0;""><b>B)</b> Plantejar una qüestió de confiança davant el Parlament.</div><div style=""padding: 5px 0;""><b>C)</b> Nomenar i separar els membres del Govern.</div><div style=""padding: 5px 0;""><b>D)</b> Dissoldre anticipadament el Parlament.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: D</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">D) Dissoldre anticipadament el Parlament.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> La substitució tampoc permet plantejar una qüestió de confiança ni nomenar o cessar consellers.</div></div>","T01_-_CE_i_EAC","17484"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T01 - CE i EAC] Pregunta 2</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quins principis de l’article 31 de la Llei 26/2010 tenen una connexió més directa amb les relacions entre institucions i administracions?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Imparcialitat, i proporcionalitat.</div><div style=""padding: 5px 0;""><b>B)</b> Lleialtat institucional, i col·laboració i cooperació interadministratives.</div><div style=""padding: 5px 0;""><b>C)</b> Eficàcia i eficiència, i simplificació administrativa.</div><div style=""padding: 5px 0;""><b>D)</b> Proximitat, i participació ciutadana.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: B</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">B) Lleialtat institucional, i col·laboració i cooperació interadministratives.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> La lleialtat institucional i la cooperació interadministrativa són les formulacions que es refereixen directament a les relacions públiques institucionals.</div></div>","T01_-_CE_i_EAC","17568"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T01 - CE i EAC] Pregunta 3</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quina naturalesa jurídica té l’Estatut d’autonomia?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> És la norma institucional bàsica de Catalunya i una llei orgànica estatal.</div><div style=""padding: 5px 0;""><b>B)</b> És una llei orgànica estatal centrada en l’organització de les institucions de la Generalitat.</div><div style=""padding: 5px 0;""><b>C)</b> És la norma institucional bàsica de Catalunya aprovada pel Parlament sense ratificació estatal.</div><div style=""padding: 5px 0;""><b>D)</b> És una llei autonòmica amb rang superior a les lleis orgàniques estatals.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: A</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">A) És la norma institucional bàsica de Catalunya i una llei orgànica estatal.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> L’Estatut és alhora la norma institucional bàsica de la comunitat autònoma i una llei orgànica integrada en l’ordenament de l’Estat.</div></div>","T01_-_CE_i_EAC","17442"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T01 - CE i EAC] Pregunta 4</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Com s’estructuren els òrgans territorials de la Generalitat?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> En direccions de serveis.</div><div style=""padding: 5px 0;""><b>B)</b> En consells consultius.</div><div style=""padding: 5px 0;""><b>C)</b> En secretaries generals.</div><div style=""padding: 5px 0;""><b>D)</b> En delegacions territorials.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: D</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">D) En delegacions territorials.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> Els òrgans territorials adopten l’estructura de delegacions territorials per desplegar l’actuació administrativa en el territori.</div></div>","T01_-_CE_i_EAC","17588"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T01 - CE i EAC] Pregunta 5</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quin tipus d’òrgan executa la voluntat de l’Administració?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Un òrgan actiu.</div><div style=""padding: 5px 0;""><b>B)</b> Un òrgan territorial.</div><div style=""padding: 5px 0;""><b>C)</b> Un òrgan consultiu.</div><div style=""padding: 5px 0;""><b>D)</b> Un alt càrrec.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: A</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">A) Un òrgan actiu.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> L’execució de la voluntat administrativa és una funció pròpia dels òrgans actius.</div></div>","T01_-_CE_i_EAC","17596"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T01 - CE i EAC] Pregunta 6</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quants títols té la Constitució comptant el títol preliminar?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Deu títols.</div><div style=""padding: 5px 0;""><b>B)</b> Dotze títols.</div><div style=""padding: 5px 0;""><b>C)</b> Onze títols.</div><div style=""padding: 5px 0;""><b>D)</b> Tretze títols.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: C</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">C) Onze títols.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> L’estructura inclou un títol preliminar i deu títols numerats, de l’I al X.</div></div>","T01_-_CE_i_EAC","17389"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T01 - CE i EAC] Pregunta 7</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quants títols numerats té l’Estatut, sense comptar el títol preliminar?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Set títols.</div><div style=""padding: 5px 0;""><b>B)</b> Nou títols.</div><div style=""padding: 5px 0;""><b>C)</b> Vuit títols.</div><div style=""padding: 5px 0;""><b>D)</b> Sis títols.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: A</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">A) Set títols.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> L’estructura inclou un títol preliminar i set títols numerats, de l’I al VII.</div></div>","T01_-_CE_i_EAC","17440"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T01 - CE i EAC] Pregunta 8</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Qui dirigeix i gestiona els serveis d’una direcció general?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> El director o directora de serveis.</div><div style=""padding: 5px 0;""><b>B)</b> El secretari o secretària general.</div><div style=""padding: 5px 0;""><b>C)</b> El director o directora general.</div><div style=""padding: 5px 0;""><b>D)</b> El conseller o consellera.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: C</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">C) El director o directora general.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> La direcció i gestió dels serveis propis de la direcció general correspon al seu director o directora.</div></div>","T01_-_CE_i_EAC","17635"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T01 - CE i EAC] Pregunta 9</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quin dret tenen els menors en l’àmbit familiar i social?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Participació en igualtat d’oportunitats en els àmbits públics i privats.</div><div style=""padding: 5px 0;""><b>B)</b> Protecció davant l’explotació i la discriminació per raó d’edat.</div><div style=""padding: 5px 0;""><b>C)</b> Prestacions i ajuts per atendre les càrregues familiars.</div><div style=""padding: 5px 0;""><b>D)</b> Rebre l’atenció integral necessària per al seu desenvolupament i benestar.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: D</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">D) Rebre l’atenció integral necessària per al seu desenvolupament i benestar.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> La protecció estatutària dels menors se centra en el desenvolupament de la personalitat i el benestar integral.</div></div>","T01_-_CE_i_EAC","17460"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T01 - CE i EAC] Pregunta 10</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quina denominació correspon al departament d’igualtat?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Feminismes i Participació Ciutadana.</div><div style=""padding: 5px 0;""><b>B)</b> Igualtat i Feminisme.</div><div style=""padding: 5px 0;""><b>C)</b> Drets Socials, Igualtat i Famílies.</div><div style=""padding: 5px 0;""><b>D)</b> Igualtat, Drets Civils i Inclusió.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: B</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">B) Igualtat i Feminisme.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> El departament apareix amb la denominació Igualtat i Feminisme.</div></div>","T01_-_CE_i_EAC","17670"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T01 - CE i EAC] Pregunta 11</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quina categoria té el delegat territorial pel que fa al rang orgànic?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> La de director o directora general.</div><div style=""padding: 5px 0;""><b>B)</b> La de secretari o secretària general.</div><div style=""padding: 5px 0;""><b>C)</b> La de subdirector o subdirectora general.</div><div style=""padding: 5px 0;""><b>D)</b> La de conseller o consellera.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: A</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">A) La de director o directora general.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> Orgànicament, el delegat territorial té categoria de director general, encara que exerceixi una funció territorial.</div></div>","T01_-_CE_i_EAC","17592"
