"Front","Back","Tag","ID"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T07 - Política lingüística] Pregunta 1</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Segons l’article 8 del capítol primer, qui fa la versió oficial castellana de les lleis del Parlament de Catalunya?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> L’Administració de l’Estat.</div><div style=""padding: 5px 0;""><b>B)</b> El Govern de la Generalitat.</div><div style=""padding: 5px 0;""><b>C)</b> El Diari Oficial de la Generalitat de Catalunya.</div><div style=""padding: 5px 0;""><b>D)</b> El Parlament de Catalunya.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: D</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">D) El Parlament de Catalunya.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> La responsabilitat correspon al mateix Parlament que aprova la llei, no a l’òrgan encarregat de publicar-la.</div></div>","T07_-_Politica_linguistica","19547"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T07 - Política lingüística] Pregunta 2</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Segons l’article 15 del capítol primer, en quina llengua s’han de redactar els contractes d’adhesió o amb condicions generals?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> En la llengua oficial habitual de l’empresa.</div><div style=""padding: 5px 0;""><b>B)</b> En la llengua escollida pel consumidor, amb exemplars separats disponibles en català i castellà.</div><div style=""padding: 5px 0;""><b>C)</b> En català, llevat que l’Administració autoritzi una altra llengua.</div><div style=""padding: 5px 0;""><b>D)</b> En català i castellà dins un únic document bilingüe.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: B</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">B) En la llengua escollida pel consumidor, amb exemplars separats disponibles en català i castellà.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> La regla reforça la posició del consumidor i obliga a disposar immediatament de versions separades en les dues llengües oficials.</div></div>","T07_-_Politica_linguistica","19561"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T07 - Política lingüística] Pregunta 3</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Segons l’article 10 del capítol primer, quina llengua s’ha d’emprar en els procediments administratius de les administracions de Catalunya?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> El castellà quan hi participa una persona jurídica.</div><div style=""padding: 5px 0;""><b>B)</b> El català, sens perjudici dels drets lingüístics dels ciutadans.</div><div style=""padding: 5px 0;""><b>C)</b> La llengua oficial escollida per l’òrgan instructor.</div><div style=""padding: 5px 0;""><b>D)</b> Les dues llengües oficials en totes les actuacions.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: B</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">B) El català, sens perjudici dels drets lingüístics dels ciutadans.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> El català és la llengua ordinària del procediment, però els interessats poden presentar documents, manifestar-se i demanar notificacions en castellà.</div></div>","T07_-_Politica_linguistica","19550"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T07 - Política lingüística] Pregunta 4</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Segons l’article 14 del capítol primer, en quina llengua s’ha de redactar un document públic amb diversos atorgants?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> En castellà quan algun atorgant no resideix a Catalunya.</div><div style=""padding: 5px 0;""><b>B)</b> En català, amb independència de l’acord entre els atorgants.</div><div style=""padding: 5px 0;""><b>C)</b> En totes dues llengües encara que hi hagi acord.</div><div style=""padding: 5px 0;""><b>D)</b> En la llengua oficial que acordin els atorgants.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: D</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">D) En la llengua oficial que acordin els atorgants.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> L’acord dels atorgants determina la llengua; la redacció bilingüe és la solució prevista quan no arriben a cap acord.</div></div>","T07_-_Politica_linguistica","19558"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T07 - Política lingüística] Pregunta 5</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Segons l’article 9 del capítol primer, quin dret conserva una persona resident en l’àmbit lingüístic català respecte de les comunicacions administratives?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Escollir que totes les actuacions internes es tramitin en castellà.</div><div style=""padding: 5px 0;""><b>B)</b> Exigir que la documentació es redacti simultàniament en les dues llengües.</div><div style=""padding: 5px 0;""><b>C)</b> Rebre les comunicacions en català i una traducció jurada al castellà.</div><div style=""padding: 5px 0;""><b>D)</b> Rebre les comunicacions i notificacions en castellà, si ho demana.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: D</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">D) Rebre les comunicacions i notificacions en castellà, si ho demana.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> L’ús normal del català per l’Administració és compatible amb el dret individual a sol·licitar les comunicacions en castellà.</div></div>","T07_-_Politica_linguistica","19549"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T07 - Política lingüística] Pregunta 6</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Segons l’article 10 del capítol primer, quins efectes pot tenir una sol·licitud de traducció sobre el procediment?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Pot comportar una taxa quan la documentació sigui extensa.</div><div style=""padding: 5px 0;""><b>B)</b> Pot suspendre els terminis fins que es lliuri la traducció.</div><div style=""padding: 5px 0;""><b>C)</b> Pot ajornar la resolució si la traducció afecta documents essencials.</div><div style=""padding: 5px 0;""><b>D)</b> No pot causar despesa, perjudici, retard ni suspensió de la tramitació.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: D</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">D) No pot causar despesa, perjudici, retard ni suspensió de la tramitació.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> El dret a rebre una testimoniança traduïda s’ha d’exercir sense conseqüències negatives per a la persona interessada ni per al calendari del procediment.</div></div>","T07_-_Politica_linguistica","19551"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T07 - Política lingüística] Pregunta 7</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Segons l’article 4 del capítol preliminar, quin dret lingüístic té tothom a Catalunya?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Rebre qualsevol servei públic exclusivament en català.</div><div style=""padding: 5px 0;""><b>B)</b> Exigir la traducció al català de qualsevol document privat.</div><div style=""padding: 5px 0;""><b>C)</b> Expressar-se en qualsevol de les dues llengües oficials en les relacions i els actes públics i privats.</div><div style=""padding: 5px 0;""><b>D)</b> Escollir la llengua de treball de qualsevol empresa privada.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: C</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">C) Expressar-se en qualsevol de les dues llengües oficials en les relacions i els actes públics i privats.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> El dret d’expressió lingüística abasta tant les relacions públiques com les privades i pot exercir-se oralment o per escrit.</div></div>","T07_-_Politica_linguistica","19540"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T07 - Política lingüística] Pregunta 8</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Segons l’article 14 del capítol primer, en quina llengua es redacta un document públic si no s’escull expressament cap llengua?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> En totes dues llengües oficials.</div><div style=""padding: 5px 0;""><b>B)</b> En català.</div><div style=""padding: 5px 0;""><b>C)</b> En la llengua habitual del fedatari públic.</div><div style=""padding: 5px 0;""><b>D)</b> En castellà.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: B</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">B) En català.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> La norma exigeix preguntar prèviament als atorgants, però estableix el català com a llengua de redacció supletòria si no hi ha elecció expressa.</div></div>","T07_-_Politica_linguistica","19559"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T07 - Política lingüística] Pregunta 9</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Segons l’article 12 del capítol primer, quina validesa tenen a Catalunya les actuacions de l’Administració de l’Estat fetes en qualsevol llengua oficial?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Són vàlides únicament si s’han fet per escrit.</div><div style=""padding: 5px 0;""><b>B)</b> Són vàlides sense necessitat de traducció.</div><div style=""padding: 5px 0;""><b>C)</b> Són vàlides si la persona interessada accepta la llengua emprada.</div><div style=""padding: 5px 0;""><b>D)</b> Són vàlides després de publicar-ne una versió bilingüe.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: B</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">B) Són vàlides sense necessitat de traducció.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> La validesa comprèn tant les actuacions orals com les escrites i no depèn de l’aportació d’una traducció.</div></div>","T07_-_Politica_linguistica","19554"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T07 - Política lingüística] Pregunta 10</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Segons l’article 3 del capítol preliminar, quina validesa tenen els actes jurídics fets en qualsevol de les dues llengües oficials?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Tenen plena validesa i eficàcia pel que fa a la llengua.</div><div style=""padding: 5px 0;""><b>B)</b> Tenen eficàcia provisional fins que se’n comprova la versió catalana.</div><div style=""padding: 5px 0;""><b>C)</b> Són vàlids en l’àmbit privat, però no en l’administratiu.</div><div style=""padding: 5px 0;""><b>D)</b> Són vàlids després d’obtenir una traducció oficial.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: A</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">A) Tenen plena validesa i eficàcia pel que fa a la llengua.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> La llengua oficial escollida no altera els efectes de l’acte jurídic; no es pot condicionar la seva validesa a l’ús d’una de les dues llengües.</div></div>","T07_-_Politica_linguistica","19539"
