"Front","Back","Tag","ID"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T30 - Estructures col·lapsades] Pregunta 1</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quina és una funció principal de l’apuntalament vertical?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Sostenir elements horitzontals com forjats, sostres o bigues.</div><div style=""padding: 5px 0;""><b>B)</b> Contrarestar el desplom d’un mur mitjançant un suport diagonal.</div><div style=""padding: 5px 0;""><b>C)</b> Contenir terres d’una rasa mitjançant empenta lateral.</div><div style=""padding: 5px 0;""><b>D)</b> Delimitar una zona segura sota un element estructural.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: A</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">A) Sostenir elements horitzontals com forjats, sostres o bigues.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> El vertical transmet cap avall les càrregues d’elements horitzontals afectats.</div></div>","T30_-_Estructures_collapsades","20384"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T30 - Estructures col·lapsades] Pregunta 2</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quin conjunt conté punts elevats des d’on es pot fer venteig?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Rases, soterranis i espais sota forjats.</div><div style=""padding: 5px 0;""><b>B)</b> Forats a la runa, esquerdes i obertures interiors.</div><div style=""padding: 5px 0;""><b>C)</b> Punts d’entrada, rutes de treball i zones d’evacuació.</div><div style=""padding: 5px 0;""><b>D)</b> Finestres, balcons o teulades com a punts elevats.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: D</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">D) Finestres, balcons o teulades com a punts elevats.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> Finestres, balcons i teulades són exemples de punts elevats útils per al venteig.</div></div>","T30_-_Estructures_collapsades","20371"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T30 - Estructures col·lapsades] Pregunta 3</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">On s’han de situar els vehicles en un carrer amb pendent?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Per sobre de l’edificació afectada.</div><div style=""padding: 5px 0;""><b>B)</b> Per sota de l’edificació afectada.</div><div style=""padding: 5px 0;""><b>C)</b> A la zona més pròxima al punt de desenrunament.</div><div style=""padding: 5px 0;""><b>D)</b> Al mateix nivell de la façana afectada.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: A</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">A) Per sobre de l’edificació afectada.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> Situar-los per sobre evita que quedin atrapats per despreniments o fluxos de runa.</div></div>","T30_-_Estructures_collapsades","20450"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T30 - Estructures col·lapsades] Pregunta 4</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quins mitjans es poden utilitzar per marcar rutes segures i zones de perill?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Únicament cartells rígids i balises metàl·liques.</div><div style=""padding: 5px 0;""><b>B)</b> Només pintura permanent aplicada sobre els murs.</div><div style=""padding: 5px 0;""><b>C)</b> Exclusivament llums de vehicles d’emergència.</div><div style=""padding: 5px 0;""><b>D)</b> Pintura, cintes o sticks lluminosos.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: D</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">D) Pintura, cintes o sticks lluminosos.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> El sistema visual pot utilitzar pintura, cintes o elements lluminosos.</div></div>","T30_-_Estructures_collapsades","20420"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T30 - Estructures col·lapsades] Pregunta 5</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Què és el venteig en recerca canina?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> La maniobra en què el gos rastreja l’aire buscant partícules d’olor corporal.</div><div style=""padding: 5px 0;""><b>B)</b> La maniobra en què el gos segueix vibracions transmeses per la runa.</div><div style=""padding: 5px 0;""><b>C)</b> La maniobra en què l’equip emet crides per obtenir respostes sonores.</div><div style=""padding: 5px 0;""><b>D)</b> La maniobra en què el guia inspecciona esquerdes amb una càmera.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: A</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">A) La maniobra en què el gos rastreja l’aire buscant partícules d’olor corporal.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> En el venteig, el gos treballa sobre les partícules d’olor transportades per l’aire.</div></div>","T30_-_Estructures_collapsades","20369"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T30 - Estructures col·lapsades] Pregunta 6</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Què és l’INSARAG?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Un grup de Bombers de la Generalitat de suport tècnic al comandament.</div><div style=""padding: 5px 0;""><b>B)</b> Un sistema municipal de recerca amb gossos i personal mèdic.</div><div style=""padding: 5px 0;""><b>C)</b> Un equip operatiu europeu dedicat a apuntalaments estructurals.</div><div style=""padding: 5px 0;""><b>D)</b> Una xarxa de Nacions Unides per coordinar la resposta internacional en ensorraments greus.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: D</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">D) Una xarxa de Nacions Unides per coordinar la resposta internacional en ensorraments greus.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> L’INSARAG és una xarxa de Nacions Unides orientada a la coordinació internacional del rescat en grans ensorraments.</div></div>","T30_-_Estructures_collapsades","20272"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T30 - Estructures col·lapsades] Pregunta 7</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">A quina distància general s’han de situar els vehicles respecte del lloc del col·lapse?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Just davant l’edificació afectada per reduir el recorregut.</div><div style=""padding: 5px 0;""><b>B)</b> Com a mínim a dues edificacions no afectades.</div><div style=""padding: 5px 0;""><b>C)</b> Com a mínim a una edificació no afectada.</div><div style=""padding: 5px 0;""><b>D)</b> A una distància equivalent a l’amplada d’un vehicle.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: B</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">B) Com a mínim a dues edificacions no afectades.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> La separació de dues edificacions no afectades redueix l’exposició a un col·lapse secundari.</div></div>","T30_-_Estructures_collapsades","20449"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T30 - Estructures col·lapsades] Pregunta 8</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Què convé fer amb el nombre d’intervinents dins la zona calenta durant la recerca física?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Mantenir tot el personal disponible dins la zona per escurçar la recerca.</div><div style=""padding: 5px 0;""><b>B)</b> Reduir el nombre d’intervinents dins de la zona calenta.</div><div style=""padding: 5px 0;""><b>C)</b> Concentrar-lo als sectors amb més runa encara que augmentin les interferències.</div><div style=""padding: 5px 0;""><b>D)</b> Augmentar-lo per cobrir més superfície al mateix temps.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: B</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">B) Reduir el nombre d’intervinents dins de la zona calenta.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> Menys intervinents redueixen interferències i exposició al risc dins la zona calenta.</div></div>","T30_-_Estructures_collapsades","20339"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T30 - Estructures col·lapsades] Pregunta 9</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">En quin escenari és especialment adequat un apuntalament vertical?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Per sostenir un forjat afectat que ha de transmetre càrrega cap avall.</div><div style=""padding: 5px 0;""><b>B)</b> Per senyalitzar una ruta d’evacuació sota una estructura inestable.</div><div style=""padding: 5px 0;""><b>C)</b> Per contenir les parets laterals d’una rasa profunda.</div><div style=""padding: 5px 0;""><b>D)</b> Per impedir el desplom exterior d’un mur mitjançant un element diagonal.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: A</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">A) Per sostenir un forjat afectat que ha de transmetre càrrega cap avall.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> El vertical és adequat quan cal sostenir elements horitzontals i conduir-ne la càrrega cap a un suport inferior.</div></div>","T30_-_Estructures_collapsades","20391"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T30 - Estructures col·lapsades] Pregunta 10</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quins tres elements formen un apuntalament vertical bàsic?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Tornapuntes, ancoratges i falques.</div><div style=""padding: 5px 0;""><b>B)</b> Puntals, corretges i ancoratges laterals.</div><div style=""padding: 5px 0;""><b>C)</b> Sotapont, puntals i jaç de taulons.</div><div style=""padding: 5px 0;""><b>D)</b> Sotapont, tirants i travessers.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: C</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">C) Sotapont, puntals i jaç de taulons.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> El sistema vertical bàsic està format pel sotapont, els puntals i el jaç de taulons.</div></div>","T30_-_Estructures_collapsades","20387"
