"Front","Back","Tag","ID"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T19 - Conducció i mecànica] Pregunta 1</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Què passa amb el pes del vehicle quan entra en una corba?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Es concentra a l’eix davanter i redueix la inclinació.</div><div style=""padding: 5px 0;""><b>B)</b> Es desplaça longitudinalment i augmenta la tracció posterior.</div><div style=""padding: 5px 0;""><b>C)</b> Tendeix a desplaçar-se cap a un costat i genera balanceig.</div><div style=""padding: 5px 0;""><b>D)</b> Es reparteix igual entre les quatre rodes i elimina el balanceig.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: C</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">C) Tendeix a desplaçar-se cap a un costat i genera balanceig.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> La força lateral en corba desplaça la càrrega cap a un costat de la carrosseria.</div></div>","T19_-_Conduccio_i_mecanica","17320"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T19 - Conducció i mecànica] Pregunta 2</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quina il·luminació es recomana durant la conducció amb pluja intensa?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Utilitzar els llums curts i, si cal, els antiboira posteriors, evitant els llums llargs que es poden reflectir.</div><div style=""padding: 5px 0;""><b>B)</b> Utilitzar els llums llargs com a il·luminació principal i prescindir dels antiboira posteriors.</div><div style=""padding: 5px 0;""><b>C)</b> Mantenir els llums de posició i activar els llums llargs als trams amb menys il·luminació.</div><div style=""padding: 5px 0;""><b>D)</b> Utilitzar els antiboira com a il·luminació principal i desactivar els llums curts mentre duri la pluja.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: A</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">A) Utilitzar els llums curts i, si cal, els antiboira posteriors, evitant els llums llargs que es poden reflectir.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> Amb pluja intensa, la reflexió de la llum pot empitjorar la visibilitat; per això es prioritzen els llums curts i, quan cal, els antiboira posteriors.</div></div>","T19_-_Conduccio_i_mecanica","17255"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T19 - Conducció i mecànica] Pregunta 3</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Què pot indicar que el vehicle es desviï durant la frenada?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Un règim baix del motor o una retenció mecànica elevada.</div><div style=""padding: 5px 0;""><b>B)</b> Una pressió uniforme o un desgast regular dels pneumàtics.</div><div style=""padding: 5px 0;""><b>C)</b> Pressions desiguals o desgast de les pastilles.</div><div style=""padding: 5px 0;""><b>D)</b> Una càrrega equilibrada o una suspensió massa tova.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: C</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">C) Pressions desiguals o desgast de les pastilles.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> Una frenada desigual entre rodes pot provocar desviació i apuntar a pressions diferents o desgast de les pastilles.</div></div>","T19_-_Conduccio_i_mecanica","17300"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T19 - Conducció i mecànica] Pregunta 4</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quin tipus de vehicle és imprescindible per circular fora d’asfalt?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Un vehicle amb diferencial obert.</div><div style=""padding: 5px 0;""><b>B)</b> Un vehicle amb tracció davantera.</div><div style=""padding: 5px 0;""><b>C)</b> Un vehicle amb tracció posterior.</div><div style=""padding: 5px 0;""><b>D)</b> Un vehicle amb tracció total 4x4.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: D</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">D) Un vehicle amb tracció total 4x4.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> La circulació fora d’asfalt requereix vehicles amb tracció total.</div></div>","T19_-_Conduccio_i_mecanica","17235"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T19 - Conducció i mecànica] Pregunta 5</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">On transmet la força un vehicle amb tracció posterior?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> A les rodes del davant.</div><div style=""padding: 5px 0;""><b>B)</b> A totes quatre rodes de manera permanent.</div><div style=""padding: 5px 0;""><b>C)</b> A les rodes del darrere.</div><div style=""padding: 5px 0;""><b>D)</b> A l’eix amb més adherència en cada moment.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: C</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">C) A les rodes del darrere.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> En la tracció posterior, les rodes posteriors són les encarregades de rebre la força de propulsió.</div></div>","T19_-_Conduccio_i_mecanica","17288"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T19 - Conducció i mecànica] Pregunta 6</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quins elements utilitza l’eCall per transmetre la informació d’emergència?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Radar i sensor de pressió dels pneumàtics.</div><div style=""padding: 5px 0;""><b>B)</b> Caixa de transferència i centraleta de frenada.</div><div style=""padding: 5px 0;""><b>C)</b> ABS i control de tracció.</div><div style=""padding: 5px 0;""><b>D)</b> GPS i una targeta SIM integrada.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: D</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">D) GPS i una targeta SIM integrada.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> El GPS aporta localització i la targeta SIM permet establir la comunicació.</div></div>","T19_-_Conduccio_i_mecanica","17370"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T19 - Conducció i mecànica] Pregunta 7</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quan s’activen els coixins de seguretat o airbags?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Quan el vehicle entra en una corba pronunciada.</div><div style=""padding: 5px 0;""><b>B)</b> Quan el sistema ABS detecta un bloqueig imminent.</div><div style=""padding: 5px 0;""><b>C)</b> Quan la centraleta detecta una desacceleració sobtada.</div><div style=""padding: 5px 0;""><b>D)</b> Quan les rodes comencen a patinar en acceleració.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: C</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">C) Quan la centraleta detecta una desacceleració sobtada.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> Una desacceleració pròpia d’un impacte pot desencadenar el desplegament dels airbags.</div></div>","T19_-_Conduccio_i_mecanica","17362"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T19 - Conducció i mecànica] Pregunta 8</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Com s’ha d’afrontar el retorn al parc després d’un servei?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Reduint les distàncies perquè la circulació és ordinària.</div><div style=""padding: 5px 0;""><b>B)</b> Relaxant l’atenció perquè el trajecte ja no és urgent.</div><div style=""padding: 5px 0;""><b>C)</b> Mantenint la concentració i una conducció preventiva.</div><div style=""padding: 5px 0;""><b>D)</b> Prioritzant la rapidesa per recuperar disponibilitat.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: C</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">C) Mantenint la concentració i una conducció preventiva.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> El final de la intervenció no elimina els riscos de la conducció; la concentració s’ha de mantenir.</div></div>","T19_-_Conduccio_i_mecanica","17381"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T19 - Conducció i mecànica] Pregunta 9</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Què s’ha d’evitar durant una pujada en un camí forestal?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Mantenir una trajectòria progressiva.</div><div style=""padding: 5px 0;""><b>B)</b> Adaptar la marxa abans del tram.</div><div style=""padding: 5px 0;""><b>C)</b> Aturar-se a mitja pujada.</div><div style=""padding: 5px 0;""><b>D)</b> Aprofitar la inèrcia del vehicle.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: C</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">C) Aturar-se a mitja pujada.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> Reprendre la marxa en una pendent pot resultar difícil, per això s’ha d’evitar aturar-s’hi a mig tram.</div></div>","T19_-_Conduccio_i_mecanica","17247"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T19 - Conducció i mecànica] Pregunta 10</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">En quin tipus de vehicles és habitual la tracció posterior i quin avantatge ofereix?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> En vehicles lleugers, i ofereix millor estabilitat en pendents.</div><div style=""padding: 5px 0;""><b>B)</b> En vehicles pesants, i ofereix millor estabilitat amb càrrega.</div><div style=""padding: 5px 0;""><b>C)</b> En vehicles lleugers, i ofereix més capacitat de gir amb càrrega.</div><div style=""padding: 5px 0;""><b>D)</b> En vehicles pesants, i ofereix menor consum en qualsevol terreny.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: B</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">B) En vehicles pesants, i ofereix millor estabilitat amb càrrega.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> La tracció posterior és habitual en vehicles pesants i proporciona una estabilitat favorable quan van carregats.</div></div>","T19_-_Conduccio_i_mecanica","17289"
