"Front","Back","Tag","ID"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T16 - Assistències tècniques] Pregunta 1</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quina associació entre risc i mesura preventiva és correcta?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Projecció de fragments: guants antivibració i zona ventilada.</div><div style=""padding: 5px 0;""><b>B)</b> Pols de fusta: màscara filtrant de tipus FFP3.</div><div style=""padding: 5px 0;""><b>C)</b> Retrocés sobtat: màscara filtrant FFP3 i protecció auditiva.</div><div style=""padding: 5px 0;""><b>D)</b> Soroll i vibracions: pantalla facial i pantalons antitall.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: B</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">B) Pols de fusta: màscara filtrant de tipus FFP3.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> La FFP3 redueix la inhalació de partícules fines generades durant el tall, mentre que els altres riscos necessiten proteccions diferents.</div></div>","T16_-_Assistencies_tecniques","19803"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T16 - Assistències tècniques] Pregunta 2</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quina actuació s’orienta a una porta blindada?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Utilitzar palanca gran, escamotejadora o ariet i buscar punts febles.</div><div style=""padding: 5px 0;""><b>B)</b> Utilitzar serra o talladora sobre tota la fulla com a primera opció.</div><div style=""padding: 5px 0;""><b>C)</b> Aplicar radiografia com a tècnica principal.</div><div style=""padding: 5px 0;""><b>D)</b> Actuar amb mall lleuger.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: A</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">A) Utilitzar palanca gran, escamotejadora o ariet i buscar punts febles.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> Els reforços metàl·lics són puntuals, de manera que localitzar una zona menys protegida pot millorar l’eficàcia.</div></div>","T16_-_Assistencies_tecniques","19860"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T16 - Assistències tècniques] Pregunta 3</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Què indica habitualment un lladruc feble i espaiat en un gos?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Inseguretat i nerviosisme intensos.</div><div style=""padding: 5px 0;""><b>B)</b> Una disposició clara a iniciar l’atac.</div><div style=""padding: 5px 0;""><b>C)</b> Incertesa o una actitud indefinida.</div><div style=""padding: 5px 0;""><b>D)</b> Seguretat i voluntat de defensar-se.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: C</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">C) Incertesa o una actitud indefinida.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> Aquest tipus de lladruc reflecteix dubte davant la situació i recomana una aproximació calmada i prudent.</div></div>","T16_-_Assistencies_tecniques","19804"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T16 - Assistències tècniques] Pregunta 4</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quins dos factors s’han de valorar abans d’una captura per assegurar el control físic de l’animal?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> La força i el pes de l’animal.</div><div style=""padding: 5px 0;""><b>B)</b> El nombre d’intervinents i el sistema de transport disponible.</div><div style=""padding: 5px 0;""><b>C)</b> La velocitat de fugida i el nivell d’estrès de l’animal.</div><div style=""padding: 5px 0;""><b>D)</b> L’edat i la condició corporal de l’animal.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: A</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">A) La força i el pes de l’animal.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> La força i el pes determinen si l’equip intervinent podrà controlar físicament l’animal sense generar un risc afegit.</div></div>","T16_-_Assistencies_tecniques","19750"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T16 - Assistències tècniques] Pregunta 5</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Com s’ha de treballar si hi pot haver animals o insectes dins d’un arbre?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Amb la pantalla facial abaixada i guants de protecció.</div><div style=""padding: 5px 0;""><b>B)</b> Amb la pantalla facial alçada i guants resistents per conservar la visibilitat.</div><div style=""padding: 5px 0;""><b>C)</b> Amb la pantalla facial abaixada i protecció auditiva, però sense guants.</div><div style=""padding: 5px 0;""><b>D)</b> Amb protecció ocular sense pantalla i guants fins per millorar la sensibilitat.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: A</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">A) Amb la pantalla facial abaixada i guants de protecció.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> La protecció de cara i mans limita les conseqüències de picades, mossegades o sortides sobtades durant el tall.</div></div>","T16_-_Assistencies_tecniques","19833"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T16 - Assistències tècniques] Pregunta 6</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quina actuació deixa l’intervinent en una posició vulnerable davant d’un animal agressiu?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Ajupir-se davant de l’animal per reduir-ne la percepció d’amenaça.</div><div style=""padding: 5px 0;""><b>B)</b> Conservar la distància de seguretat fins que la contenció estigui assegurada.</div><div style=""padding: 5px 0;""><b>C)</b> Mantenir-se dret, fora de l’abast immediat i amb una via de retirada.</div><div style=""padding: 5px 0;""><b>D)</b> Situar-se lateralment, mantenir el control visual i evitar donar-li l’esquena.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: A</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">A) Ajupir-se davant de l’animal per reduir-ne la percepció d’amenaça.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> Ajupir-se redueix la capacitat de reacció i facilita que una càrrega, una mossegada o una empenta desequilibrin l’intervinent.</div></div>","T16_-_Assistencies_tecniques","19773"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T16 - Assistències tècniques] Pregunta 7</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Com pot un vessament contaminar l’aigua o el sòl?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> La pluja o el drenatge poden arrossegar el producte vessat.</div><div style=""padding: 5px 0;""><b>B)</b> L’evaporació pot dipositar els additius sobre el sòl allunyat de la calçada.</div><div style=""padding: 5px 0;""><b>C)</b> El trànsit pot desplaçar el líquid cap als vorals sense afectar el drenatge.</div><div style=""padding: 5px 0;""><b>D)</b> L’absorbent pot transferir el producte al subsol mentre el reté.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: A</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">A) La pluja o el drenatge poden arrossegar el producte vessat.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> Molts fluids contenen additius o compostos tòxics que poden sortir de la zona inicial i afectar el medi receptor.</div></div>","T16_-_Assistencies_tecniques","19879"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T16 - Assistències tècniques] Pregunta 8</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Per a quin treball s’utilitzen les motoserres de gran espasa?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Per a poda lleugera en capçades i treballs d’arboricultura.</div><div style=""padding: 5px 0;""><b>B)</b> Per a talls de precisió en llocs on l’espai de maniobra és reduït.</div><div style=""padding: 5px 0;""><b>C)</b> Per a sanejament de branques en espais interiors o poc ventilats.</div><div style=""padding: 5px 0;""><b>D)</b> Per a la tala o el trossejament de troncs de gran diàmetre.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: D</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">D) Per a la tala o el trossejament de troncs de gran diàmetre.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> La longitud superior de l’espasa permet abordar seccions de fusta que no es podrien tallar adequadament amb una guia curta.</div></div>","T16_-_Assistencies_tecniques","19779"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T16 - Assistències tècniques] Pregunta 9</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Per què s’ha d’evitar el llaç de captura en els gats?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Per l’alt risc d’asfíxia.</div><div style=""padding: 5px 0;""><b>B)</b> Perquè impedeix sostenir correctament el tren posterior durant la manipulació.</div><div style=""padding: 5px 0;""><b>C)</b> Perquè facilita que el gat pugui utilitzar les ungles contra l’intervinent.</div><div style=""padding: 5px 0;""><b>D)</b> Perquè incrementa els estímuls visuals i dificulta tranquil·litzar el gat.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: A</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">A) Per l’alt risc d’asfíxia.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> La pressió del llaç sobre el coll pot comprometre ràpidament la respiració del gat, especialment si forceja durant la captura.</div></div>","T16_-_Assistencies_tecniques","19756"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T16 - Assistències tècniques] Pregunta 10</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quina actuació és preferible amb un mamífer salvatge sense risc immediat?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Bloquejar-li les vies de fugida i esperar l’arribada del suport veterinari.</div><div style=""padding: 5px 0;""><b>B)</b> Oferir-li una via de fugida i evitar-ne la captura.</div><div style=""padding: 5px 0;""><b>C)</b> Mantenir-ne el control visual i preparar una captura si no abandona immediatament la zona.</div><div style=""padding: 5px 0;""><b>D)</b> Confinar-lo en un espai reduït per limitar-ne els moviments abans de valorar el risc.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: B</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">B) Oferir-li una via de fugida i evitar-ne la captura.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> Permetre la fugida redueix l’estrès i evita una manipulació que podria generar lesions o una resposta defensiva perillosa.</div></div>","T16_-_Assistencies_tecniques","19761"
