"Front","Back","Tag","ID"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T32 - Accidents de mobilitat viària] Pregunta 1</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quina relació hi ha entre les maniobres d’abordatge i les d’excarceració en un rescat viari?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Les d’abordatge immobilitzen el vehicle i les d’excarceració creen vies d’accés.</div><div style=""padding: 5px 0;""><b>B)</b> Les d’abordatge s’utilitzen en turismes i les d’excarceració en vehicles pesants.</div><div style=""padding: 5px 0;""><b>C)</b> Les d’abordatge creen accés i espai, mentre que les d’excarceració alliberen atrapaments estructurals.</div><div style=""padding: 5px 0;""><b>D)</b> Les d’abordatge s’apliquen només a víctimes estables i les d’excarceració a víctimes inestables.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: C</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">C) Les d’abordatge creen accés i espai, mentre que les d’excarceració alliberen atrapaments estructurals.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> La diferència principal és funcional: abordatge per accedir i crear espai; excarceració per alliberar atrapaments físics tipus 2.</div></div>","T32_-_Accidents_de_mobilitat_viaria","19696"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T32 - Accidents de mobilitat viària] Pregunta 2</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quina situació defineix una bolcada total d’un vehicle accidentat?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> El vehicle queda recolzat sobre un dels costats.</div><div style=""padding: 5px 0;""><b>B)</b> El vehicle queda inclinat però manté dues rodes sobre el terra.</div><div style=""padding: 5px 0;""><b>C)</b> El vehicle queda sobre les quatre rodes després d’haver bolcat.</div><div style=""padding: 5px 0;""><b>D)</b> El vehicle queda sobre el sostre amb les quatre rodes enlaire.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: D</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">D) El vehicle queda sobre el sostre amb les quatre rodes enlaire.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> En la bolcada total el vehicle queda invertit i recolzat sobre el sostre.</div></div>","T32_-_Accidents_de_mobilitat_viaria","19644"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T32 - Accidents de mobilitat viària] Pregunta 3</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quin sistema és un exemple de seguretat terciària en un vehicle accidentat?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> El cinturó de seguretat.</div><div style=""padding: 5px 0;""><b>B)</b> El sistema automàtic de trucada d’emergència eCall.</div><div style=""padding: 5px 0;""><b>C)</b> El control electrònic d’estabilitat ESP.</div><div style=""padding: 5px 0;""><b>D)</b> El sistema de frenada ABS.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: B</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">B) El sistema automàtic de trucada d’emergència eCall.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> La seguretat terciària facilita la resposta després de l’accident; l’eCall n’és un exemple clar.</div></div>","T32_-_Accidents_de_mobilitat_viaria","19603"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T32 - Accidents de mobilitat viària] Pregunta 4</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quina maniobra s’utilitza quan un sostre col·lapsat compromet la zona cranial d’una víctima?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Desmunt lateral del vehicle.</div><div style=""padding: 5px 0;""><b>B)</b> Desplaçament del davantal.</div><div style=""padding: 5px 0;""><b>C)</b> Tall del volant.</div><div style=""padding: 5px 0;""><b>D)</b> Desplaçament vertical del sostre amb un pistó hidràulic.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: D</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">D) Desplaçament vertical del sostre amb un pistó hidràulic.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> La maniobra recupera l’espai de l’habitacle retornant verticalment el sostre cap a la seva posició original.</div></div>","T32_-_Accidents_de_mobilitat_viaria","19706"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T32 - Accidents de mobilitat viària] Pregunta 5</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">On s’han de col·locar preferentment les falques en un vehicle en bolcada lateral?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> A les dues bandes del vehicle i sota les portes.</div><div style=""padding: 5px 0;""><b>B)</b> A la banda del sostre i, si és possible, sota els muntants.</div><div style=""padding: 5px 0;""><b>C)</b> A la banda de les rodes i sobre els para-xocs.</div><div style=""padding: 5px 0;""><b>D)</b> A la part davantera i posterior sobre els passos de roda.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: B</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">B) A la banda del sostre i, si és possible, sota els muntants.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> En bolcada lateral, les falques es col·loquen al costat del sostre i preferentment sota punts estructurals com els muntants.</div></div>","T32_-_Accidents_de_mobilitat_viaria","19675"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T32 - Accidents de mobilitat viària] Pregunta 6</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Com s'anomena la cultura que pretén fomentar el manual d’intervenció bàsica en accidents de mobilitat viària?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> La cultura de la seguretat operativa.</div><div style=""padding: 5px 0;""><b>B)</b> La cultura de la investigació d’accidents.</div><div style=""padding: 5px 0;""><b>C)</b> La cultura de la mobilitat sostenible.</div><div style=""padding: 5px 0;""><b>D)</b> La cultura de la conducció defensiva.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: A</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">A) La cultura de la seguretat operativa.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> La finalitat del document és reforçar la seguretat operativa tant en la prevenció com en l’actuació directa.</div></div>","T32_-_Accidents_de_mobilitat_viaria","19574"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T32 - Accidents de mobilitat viària] Pregunta 7</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quines parts formen un camió articulat o tràiler?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Una caixa de càrrega i un eix tractor posterior.</div><div style=""padding: 5px 0;""><b>B)</b> Un cap tractor i un semiremolc.</div><div style=""padding: 5px 0;""><b>C)</b> Una cabina rígida i una caixa fixa.</div><div style=""padding: 5px 0;""><b>D)</b> Un cap tractor i dos remolcs independents.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: B</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">B) Un cap tractor i un semiremolc.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> El tràiler consta d’un cap tractor i una unitat de càrrega separada, el semiremolc.</div></div>","T32_-_Accidents_de_mobilitat_viaria","19616"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T32 - Accidents de mobilitat viària] Pregunta 8</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Per què es prefereix desplaçar els pedals abans que tallar-los, si és possible?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Per mantenir operatiu el sistema de frenada.</div><div style=""padding: 5px 0;""><b>B)</b> Per reduir riscos addicionals.</div><div style=""padding: 5px 0;""><b>C)</b> Perquè els pedals no es poden tallar amb eines hidràuliques.</div><div style=""padding: 5px 0;""><b>D)</b> Per evitar que el vehicle perdi l’estabilitat.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: B</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">B) Per reduir riscos addicionals.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> El text indica que cal evitar el tall quan es pugui resoldre l’atrapament desplaçant els pedals.</div></div>","T32_-_Accidents_de_mobilitat_viaria","19709"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T32 - Accidents de mobilitat viària] Pregunta 9</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">On s’ha de recolzar preferentment el pistó en un desplaçament del muntant B?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Sobre punts sòlids com el muntant B oposat, la talonera contrària o el túnel central.</div><div style=""padding: 5px 0;""><b>B)</b> Sobre el para-xocs, la porta oposada o el seient.</div><div style=""padding: 5px 0;""><b>C)</b> Sobre la roda, la suspensió o el pas de roda.</div><div style=""padding: 5px 0;""><b>D)</b> Sobre el sostre, el parabrisa o el quadre de comandament.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: A</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">A) Sobre punts sòlids com el muntant B oposat, la talonera contrària o el túnel central.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> El pistó ha de transmetre l’esforç a punts estructurals resistents.</div></div>","T32_-_Accidents_de_mobilitat_viaria","19705"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T32 - Accidents de mobilitat viària] Pregunta 10</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quin és l’objectiu general de les maniobres d’abordatge en un accident de mobilitat viària?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Reduir el temps d’extracció mitjançant maniobres d’emergència.</div><div style=""padding: 5px 0;""><b>B)</b> Accedir a la víctima i crear espai de treball i extracció.</div><div style=""padding: 5px 0;""><b>C)</b> Immobilitzar el vehicle abans de l’accés sanitari.</div><div style=""padding: 5px 0;""><b>D)</b> Alliberar directament una víctima atrapada estructuralment.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: B</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">B) Accedir a la víctima i crear espai de treball i extracció.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> Les maniobres d’abordatge creen accés i espai; l’alliberament estructural correspon principalment a l’excarceració.</div></div>","T32_-_Accidents_de_mobilitat_viaria","19679"
